Customer ID,Monetary,CLV_Rank,Pct_of_Total,Cumulative_Pct
18102,598215.22,1,3.57,3.57
14646,523342.07,2,3.13,6.699999999999999
14156,296564.69,3,1.77,8.469999999999999
14911,270248.53,4,1.61,10.079999999999998
17450,233579.38999999998,5,1.4,11.479999999999999
13694,190825.52,6,1.14,12.62
17511,171885.98,7,1.03,13.649999999999999
12415,143269.29,8,0.86,14.509999999999998
16684,141502.25,9,0.85,15.359999999999998
15061,136391.48,10,0.81,16.169999999999998
15311,113513.07,11,0.68,16.849999999999998
13089,113214.19,12,0.68,17.529999999999998
17949,98895.59,13,0.59,18.119999999999997
16029,91800.91,14,0.55,18.669999999999998
14298,90489.31,15,0.54,19.209999999999997
15769,84269.38,16,0.5,19.709999999999997
13798,73573.47,17,0.44,20.15
15838,73404.11,18,0.44,20.59
12931,71299.67,19,0.43,21.02
17841,69516.19,20,0.42,21.44
14088,62400.02,21,0.37,21.810000000000002
16422,61110.54,22,0.37,22.180000000000003
13081,58328.15,23,0.35,22.530000000000005
14096,57120.909999999996,24,0.34,22.870000000000005
16754,56560.58,25,0.34,23.210000000000004
13777,56016.57,26,0.33,23.540000000000003
17850,55703.130000000005,27,0.33,23.87
14680,54801.34,28,0.33,24.2
17389,54587.03,29,0.33,24.529999999999998
13093,54073.729999999996,30,0.32,24.849999999999998
16013,52788.92,31,0.32,25.169999999999998
13408,50852.852,32,0.3,25.47
12748,49970.13,33,0.3,25.77
17404,46006.82,34,0.27,26.04
13881,44392.5,35,0.27,26.31
16705,42653.141,36,0.25,26.56
17381,39999.19,37,0.24,26.799999999999997
15039,39742.99,38,0.24,27.039999999999996
16210,38304.06,39,0.23,27.269999999999996
14031,38025.97,40,0.23,27.499999999999996
12471,37948.61,41,0.23,27.729999999999997
17675,37605.840000000004,42,0.22,27.949999999999996
17677,35866.63,43,0.21,28.159999999999997
13767,35115.68,44,0.21,28.369999999999997
12921,34639.45,45,0.21,28.58
12678,33851.13,46,0.2,28.779999999999998
15856,33817.44,47,0.2,28.979999999999997
16779,32981.61,48,0.2,29.179999999999996
17428,31238.06,49,0.19,29.369999999999997
14258,31027.35,50,0.19,29.56
12681,30551.76,51,0.18,29.74
13902,30411.26,52,0.18,29.919999999999998
12709,30312.61,53,0.18,30.099999999999998
14606,30094.38,54,0.18,30.279999999999998
